Detachment!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;08:54:41:643
Detachment!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;08:54:41:815
Detachment!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;10:23:16:824
Detachment!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;10:23:16:949
Grant!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;10:23:58:804
Grant!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;10:24:00:023
Grant!!;HD2;ASWSNA20106 ;10.150.8.81;XS046480;2022/12/08;10:25:25:254
Grant!!;MD2;ASWSNA20106 ;10.150.8.81;XS046480;2022/12/08;10:25:26:395
Detachment!!;HD2;ASWSNA20106 ;10.150.8.81;XS046480;2022/12/08;10:28:27:644
Detachment!!;MD2;ASWSNA20106 ;10.150.8.81;XS046480;2022/12/08;10:28:27:816
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/08;11:12:43:793
Detachment!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;12:51:16:702
Detachment!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;12:51:16:796
Grant!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;18:12:57:009
Grant!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;18:12:58:290
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/09;03:27:01:660
Detachment!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/09;10:01:25:686
Detachment!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/09;10:01:25:780
Grant!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/09;10:02:03:153
Grant!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/09;10:02:04:778
Grant!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/09;10:02:43:638
Grant!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/09;10:02:43:888
Detachment!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/09;10:05:13:072
Detachment!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/09;10:05:13:166
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/09;10:36:22:757
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/09;10:48:00:148
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/09;11:21:43:298
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/12;03:13:57:819
Detachment!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/12;07:42:39:524
Detachment!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/12;07:42:39:618
Grant!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/12;07:43:31:830
Grant!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/12;07:43:32:986
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/12;11:08:38:657
TimeOut!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/13;00:23:44:438
TimeOut!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/13;00:23:44:438
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/13;03:02:36:095
Grant!!;MD2;ASWSNA20107 ;10.150.8.69;XX000447;2022/12/13;10:12:29:354
Grant!!;AM2;ASWSNA20107 ;10.150.8.69;XX000447;2022/12/13;10:12:30:651
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/13;11:14:37:043
Grant!!;SXT;ASWSNA20162 ;10.150.8.151;XX001830;2022/12/13;13:17:03:756
Detachment!!;SXT;ASWSNA20162 ;10.150.8.151;XX001830;2022/12/13;13:26:34:085
Grant!!;MD2;ASWSNA20107 ;10.150.8.69;XX000447;2022/12/13;14:26:15:595
Grant!!;AM2;ASWSNA20107 ;10.150.8.69;XX000447;2022/12/13;14:26:15:767
Grant!!;MD2;ASWSNA20107 ;10.150.8.69;XX000447;2022/12/13;14:26:43:657
Detachment!!;AM2;ASWSNA20107 ;10.150.8.69;XX000447;2022/12/13;14:26:43:938
Grant!!;AM2;ASWSNA20107 ;10.150.8.69;XX000447;2022/12/13;14:26:43:969
Detachment!!;MD2;ASWSNA20107 ;10.150.8.69;XX000447;2022/12/13;14:26:44:016
Detachment!!;AM2;ASWSNA20107 ;10.150.8.69;XX000447;2022/12/13;14:27:13:625
Detachment!!;MD2;ASWSNA20107 ;10.150.8.69;XX000447;2022/12/13;14:27:13:734
Grant!!;MD2;ASWSNA20145 ;10.150.8.139;XS130005;2022/12/13;14:57:18:588
Detachment!!;MD2;ASWSNA20145 ;10.150.8.139;XS130005;2022/12/13;16:21:22:136
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/14;03:03:01:214
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/14;10:37:29:873
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/14;10:49:59:712
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/14;10:50:13:853
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/14;10:50:55:495
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/14;10:55:00:080
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/14;10:56:12:258
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/14;11:01:06:618
TimeOut!!;MD2;ASWSNA20107 ;10.150.8.69;XX000447;2022/12/14;22:18:26:438
TimeOut!!;AM2;ASWSNA20107 ;10.150.8.69;XX000447;2022/12/14;22:18:26:438
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/15;03:14:49:641
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/15;06:59:16:741
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/15;07:04:49:534
Grant!!;SXT;ASWSNA20162 ;10.150.8.79;XX001830;2022/12/15;08:36:48:588
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/15;11:34:28:136
TimeOut!!;SXT;ASWSNA20162 ;10.150.8.79;XX001830;2022/12/15;11:40:59:998
Grant!!;SXT;ASWSNA20162 ;10.150.8.132;XX001830;2022/12/15;12:35:31:496
Detachment!!;SXT;ASWSNA20162 ;10.150.8.132;XX001830;2022/12/15;12:46:15:454
Detachment!!;HD2-FS1KT1;ASWSNA20080 ;10.150.8.139;XS185631;2022/11/28;08:52:16:867
TimeOut!!;AM2;ASWSNA20107 ;10.150.8.129;XX000447;2022/11/28;11:29:06:334
TimeOut!!;MD2;ASWSNA20107 ;10.150.8.129;XX000447;2022/11/28;11:29:06:336
Grant!!;AM2;ASWSNA20107 ;10.150.8.76;XX000447;2022/11/28;11:35:44:923
Grant!!;MD2;ASWSNA20107 ;10.150.8.76;XX000447;2022/11/28;11:35:45:127
Grant!!;HD2;ASWSNA20106 ;10.150.8.93;XS046480;2022/11/28;12:53:32:303
Grant!!;MD2;ASWSNA20106 ;10.150.8.93;XS046480;2022/11/28;12:53:32:555
Grant!!;HD2;ASWSNA20162 ;10.150.8.107;XX001830;2022/11/28;14:02:34:606
Detachment!!;HD2;ASWSNA20162 ;10.150.8.107;XX001830;2022/11/28;14:03:33:583
Grant!!;HD2;ASWSNA20162 ;10.150.8.107;XX001830;2022/11/28;14:03:35:744
TimeOut!!;HD2;ASWSNA20162 ;10.150.8.107;XX001830;2022/11/28;16:34:28:563
TimeOut!!;HD2;ASWSNA20106 ;10.150.8.93;XS046480;2022/11/28;19:17:35:064
TimeOut!!;MD2;ASWSNA20106 ;10.150.8.93;XS046480;2022/11/28;19:17:35:064
Grant!!;HD2;ASWSNA20106 ;10.150.8.133;XS046480;2022/11/28;19:35:16:600
Grant!!;MD2;ASWSNA20106 ;10.150.8.133;XS046480;2022/11/28;19:35:16:853
TimeOut!!;HD2-FS1KT1;ASWSNA20080 ;10.150.8.139;XS185631;2022/11/28;20:20:02:763
TimeOut!!;HD2;ASWSNA20106 ;10.150.8.133;XS046480;2022/11/28;20:26:14:437
TimeOut!!;MD2;ASWSNA20106 ;10.150.8.133;XS046480;2022/11/28;20:26:14:438
Grant!!;HD2;ASWSNA20162 ;10.150.8.70;XX001830;2022/11/29;06:14:10:961
Grant!!;HD2;ASWSNA20162 ;10.150.8.70;XX001830;2022/11/29;06:18:40:613
Detachment!!;HD2;ASWSNA20162 ;10.150.8.70;XX001830;2022/11/29;06:18:43:294
Grant!!;HD2-FS1KT1;ASWSNA20080 ;10.150.8.133;XS185631;2022/11/29;06:59:18:543
Grant!!;HD2;ASWSNA20106 ;10.150.8.102;XS046480;2022/11/29;07:12:08:600
Grant!!;MD2;ASWSNA20106 ;10.150.8.102;XS046480;2022/11/29;07:12:08:867
Detachment!!;HD2;ASWSNA20162 ;10.150.8.70;XX001830;2022/11/29;08:32:52:750
Grant!!;HD2;ASWSNA20162 ;10.150.8.70;XX001830;2022/11/29;08:33:36:576
Detachment!!;HD2;ASWSNA20106 ;10.150.8.102;XS046480;2022/11/29;08:34:40:376
Detachment!!;MD2;ASWSNA20106 ;10.150.8.102;XS046480;2022/11/29;08:34:40:538
Detachment!!;HD2;ASWSNA20162 ;10.150.8.70;XX001830;2022/11/29;08:36:38:105
Grant!!;HD2;ASWSNA20106 ;10.150.8.102;XS046480;2022/11/29;08:37:28:500
Grant!!;MD2;ASWSNA20106 ;10.150.8.102;XS046480;2022/11/29;08:37:28:776
Grant!!;HD2;ASWSNA20162 ;10.150.8.70;XX001830;2022/11/29;09:16:43:765
TimeOut!!;HD2;ASWSNA20106 ;10.150.8.102;XS046480;2022/11/29;10:51:42:484
