Grant!!;AM2;ASWMON00124 ;10.230.117.73;XS034943;2022/10/10;10:01:38:646
Grant!!;AM2;ASWMON00122 ;10.230.117.76;XS135304;2022/10/10;11:13:12:191
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/10;12:52:15:160
TimeOut!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/10;12:56:26:437
Grant!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/10;13:06:36:332
Grant!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/10;13:06:48:138
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/10;13:07:50:622
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/10;13:08:47:726
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/10;13:08:50:135
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/10;13:08:56:846
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/10;13:09:35:714
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/10;13:10:18:879
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/10;13:10:20:880
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/10;13:11:32:945
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/10;13:11:34:774
Grant!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/10;13:15:17:016
Grant!!;AM2;ASWMON00121 ;10.230.118.87;XX000986;2022/10/10;13:37:16:387
Detachment!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/10;13:49:58:139
Detachment!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/10;13:50:00:336
Grant!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/10;14:04:27:181
TimeOut!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/10;14:06:45:226
