QSR;SHA;1;CATIA V5;KKZ-42661C6F695667C0;QSR_V6_KKZ-42661C6F695667C0_CATIA V5;
QXT;CFG;38;SIMULIA Abaqus Unified FEA;KKZ-42661C6F695667C0;QXT_V6_KKZ-42661C6F695667C0_SIMULIA Abaqus Unified FEA;
RDV;CFG;1;ENOVIA V6;KKZ-42661C6F695667C0;RDV_V6_KKZ-42661C6F695667C0_ENOVIA V6;
RE2;CFG;1;CATIA V5;KKZ-42661C6F695667C0;RE2_V6_KKZ-42661C6F695667C0_CATIA V5;
RPT;CFG;15;ENOVIA V6;KKZ-42661C6F695667C0;RPT_V6_KKZ-42661C6F695667C0_ENOVIA V6;
SEE;SHA;1;ENOVIA SmarTeam V5;KKZ-42661C6F695667C0;SEE_V6_KKZ-42661C6F695667C0_ENOVIA SmarTeam V5;
SFE;CFG;7;ENOVIA V6;KKZ-42661C6F695667C0;SFE_V6_KKZ-42661C6F695667C0_ENOVIA V6;
SH1;CFG;6;CATIA V5;KKZ-42661C6F695667C0;SH1_V6_KKZ-42661C6F695667C0_CATIA V5;
SL3;CFG;7;CATIA V5;KKZ-42661C6F695667C0;SL3_V6_KKZ-42661C6F695667C0_CATIA V5;
SMD;CFG;9;CATIA V5;KKZ-42661C6F695667C0;SMD_V6_KKZ-42661C6F695667C0_CATIA V5;
SPA;SHA;2;CATIA / ENOVIA DMU;KKZ-42661C6F695667C0;SPA_V6_KKZ-42661C6F695667C0_CATIA / ENOVIA DMU;
SPA;CFG;4;CATIA V5;KKZ-42661C6F695667C0;SPA_V6_KKZ-42661C6F695667C0_CATIA V5;
SR1;SHA;4;CATIA V5;KKZ-42661C6F695667C0;SR1_V6_KKZ-42661C6F695667C0_CATIA V5;
ST1;SHA;8;CATIA V5;KKZ-42661C6F695667C0;ST1_V6_KKZ-42661C6F695667C0_CATIA V5;
ST1;SHA;1;CATIA V6;KKZ-42661C6F695667C0;ST1_V6_KKZ-42661C6F695667C0_CATIA V6;
STA;CFG;2;ENOVIA V6;KKZ-42661C6F695667C0;STA_V6_KKZ-42661C6F695667C0_ENOVIA V6;
STL;SHA;2;CATIA V5;KKZ-42661C6F695667C0;STL_V6_KKZ-42661C6F695667C0_CATIA V5;
SUR;CFG;14;ENOVIA V6;KKZ-42661C6F695667C0;SUR_V6_KKZ-42661C6F695667C0_ENOVIA V6;
TC9;SHA;1;Business Process Accelerators;KKZ-42661C6F695667C0;TC9_V6_KKZ-42661C6F695667C0_Business Process Accelerators;
TOL;SHA;1;CATIA V6;KKZ-42661C6F695667C0;TOL_V6_KKZ-42661C6F695667C0_CATIA V6;
TS9;SHA;1;Business Process Accelerators;KKZ-42661C6F695667C0;TS9_V6_KKZ-42661C6F695667C0_Business Process Accelerators;
TUB;SHA;2;CATIA V5;KKZ-42661C6F695667C0;TUB_V6_KKZ-42661C6F695667C0_CATIA V5;
TXO;CFG;3;3DEXPERIENCE Open;KKZ-42661C6F695667C0;TXO_V6_KKZ-42661C6F695667C0_3DEXPERIENCE Open;
UE5;CFG;34;3DEXPERIENCE Open;KKZ-42661C6F695667C0;UE5_V6_KKZ-42661C6F695667C0_3DEXPERIENCE Open;
VMX;CFG;1;ENOVIA V6;KKZ-42661C6F695667C0;VMX_V6_KKZ-42661C6F695667C0_ENOVIA V6;
